cluster_id,cluster_size,sample_tweet_ids,sample_text
1744,60,"1566105622046982149, 1569845632227233793, 1571045843826003973","#Russia Soldiers, cowards #Putin Don't obey! Throw away your weapons and go home! And eat a hot dinner with the whole family. Stay close to your family and l... | #Russia Soldiers, cowards #Putin Don't obey! Throw away your weapons and go home! And eat a hot dinner with the whole family. Stay close to your family and l... | #Russia Soldiers, cowards #Putin Don't obey! Throw away your weapons and go home! And eat a hot dinner with the whole family. Stay close to your family and l..."
26630,57,"1633251318562189313, 1633251802157142017, 1633259718314475525",This is going to be iconic. #Tbilisi #Georgia https://t.co/6zv7Md5mE2 | This is going to be iconic. #Tbilisi #Georgia https://t.co/6zv7Md5mE2 | This is going to be iconic. #Tbilisi #Georgia https://t.co/6zv7Md5mE2
35358,52,"1643480275525967874, 1643511537909260289, 1643518687897419777",Relax. It is not #Ukraine Just a holy place of worship in occupied Jerusalem. https://t.co/QWqwqPgKtj | Relax. It is not #Ukraine Just a holy place of worship in occupied Jerusalem. https://t.co/QWqwqPgKtj | Relax. It is not #Ukraine Just a holy place of worship in occupied Jerusalem. https://t.co/QWqwqPgKtj
36360,50,"1644863675591716864, 1644869103536971776, 1644870326336249856",To @elonmusk 1. Is this a violation of TOS calling for genocide of #Ukraine 2. How is a terrorist state verified 3. Why did you allow #Russian leaders back o... | To @elonmusk 1. Is this a violation of TOS calling for genocide of #Ukraine 2. How is a terrorist state verified 3. Why did you allow #Russian leaders back o... | To @elonmusk 1. Is this a violation of TOS calling for genocide of #Ukraine 2. How is a terrorist state verified 3. Why did you allow #Russian leaders back o...
31288,47,"1638499744581296129, 1638499745483169795, 1638499808175443968","A peaceful day in the world, another horrible day in Ukraine. Russian rocket just hit a section of residential buildings in Zaporizhzhia. Rescuers are workin... | A peaceful day in the world, another horrible day in Ukraine. Russian rocket just hit a section of residential buildings in Zaporizhzhia. Rescuers are workin... | A peaceful day in the world, another horrible day in Ukraine. Russian rocket just hit a section of residential buildings in Zaporizhzhia. Rescuers are workin..."
